,columna,metrica,tiempo_procesamiento,cluster
1,203.0,3.4655002127166266,179.6407289505005,0
2,204.0,4.785822736046256,181.07640194892883,1
3,205.0,2.511393795227729,181.8670332431793,1
4,206.0,4.3252071750455805,185.5871415138245,1
5,207.0,2.658622550919248,183.5539643764496,0
6,208.0,4.292424440325032,180.3279252052307,1
7,209.0,2.9634231687735046,182.12631344795227,2
8,210.0,2.887002248017334,180.11491870880127,2
9,211.0,3.933906944824473,186.0029547214508,0
10,212.0,3.2129916838075854,182.48237371444705,1
11,213.0,3.876320253770027,191.8045372962952,1
12,214.0,2.1548373003879058,181.5379831790924,1
13,215.0,1.89148031657925,184.7242786884308,0
14,216.0,2.2512312389173244,186.23591089248657,1
15,217.0,2.196072787493799,184.99641609191892,2
16,218.0,4.017552011203914,186.66467189788816,2
17,219.0,2.1858687312824374,187.38716340065,1
18,220.0,2.971742845190962,194.7336177825928,0
19,221.0,2.219289496500588,196.58087706565857,2
20,222.0,2.504922804964179,197.1040186882019,2
21,223.0,4.315855934693744,197.5930967330933,2
22,224.0,3.571552166105872,200.51460576057437,2
23,225.0,2.401460530870596,197.59980010986328,2
24,226.0,3.718064316152523,205.51381492614743,2
25,227.0,1.9212757430712384,197.42621493339536,2
26,228.0,2.1384206949820874,195.7356357574463,2
27,229.0,3.657625084195565,197.42391395568848,2
28,230.0,4.051001397075462,196.8488140106201,2
29,231.0,2.482602392473213,195.2813217639923,2
30,232.0,4.250367908520395,195.2908411026001,2
31,233.0,4.4459190203281,201.9271535873413,2
32,235.0,3.00619279816304,195.746830701828,2
33,236.0,3.725667685549536,196.46753001213077,1
34,237.0,4.33867099638787,195.6486186981201,2
35,238.0,3.0254164198378293,199.676283121109,2
36,239.0,3.213594356580559,198.35723185539248,2
37,240.0,2.8264789628884794,195.25527501106265,2
38,241.0,4.517004065163872,191.79991054534912,2
39,242.0,3.2173886133132537,195.78699374198916,2
40,243.0,2.9993135132007462,196.3769519329071,2
41,244.0,3.381060956728162,197.47205781936648,2
42,246.0,2.269464407291325,197.4688241481781,2
43,247.0,3.649797648645723,200.4339334964752,2
44,248.0,2.1892669456101723,194.8706455230713,2
45,249.0,2.6421056953064204,185.7589738368988,2
