CAMIÓN,RUTA,MOMENTO DE VISITA,BICICLETAS EN CAMIÓN
1,1.0,0,25
1,446.0,12,40
1,114.0,23,45
1,395.0,33,39
1,61.0,41,28
1,105.0,46,22
1,66.0,52,15
1,92.0,58,10
1,26.0,71,16
1,494.0,81,10
1,83.0,92,18
1,80.0,100,11
1,88.0,107,4
1,286.0,128,10
1,342.0,135,5
1,285.0,153,14
1,491.0,169,9
1,168.0,186,18
1,50.0,196,10
1,109.0,210,4
1,91.0,220,12
1,215.0,230,1
1,241.0,248,8
1,138.0,263,19
1,317.0,273,26
1,411.0,286,35
1,32.0,302,43
1,162.0,315,48
1,481.0,340,39
1,124.0,362,48
1,138.0,380,38
1,482.0,401,31
1,292.0,411,25
1,271.0,427,29
1,117.0,443,36
1,114.0,456,29
1,56.0,461,35
1,1.0,477,35
