CAMIÓN,RUTA,MOMENTO DE VISITA,BICICLETAS EN CAMIÓN
2,1.0,0,25
2,286.0,6,10
2,239.0,20,15
2,256.0,34,24
2,285.0,40,14
2,474.0,52,9
2,470.0,61,17
2,488.0,73,10
2,130.0,86,19
2,167.0,98,27
2,173.0,107,20
2,115.0,119,11
2,425.0,126,18
2,459.0,147,26
2,170.0,158,13
2,476.0,182,31
2,490.0,196,25
2,253.0,213,41
2,209.0,237,33
2,110.0,242,25
2,102.0,250,18
2,325.0,258,10
2,422.0,267,3
2,404.0,278,12
2,31.0,304,22
2,108.0,327,16
2,221.0,337,9
2,228.0,343,1
2,397.0,365,8
2,57.0,377,17
2,225.0,394,9
2,451.0,422,17
2,270.0,436,9
2,133.0,450,18
2,49.0,464,23
2,419.0,473,30
2,1.0,479,30
