,station_id,lat,lon,distrito
129,136.0,41.4139298,2.2017955,Sant Martí
130,137.0,41.4145805,2.2008139,Sant Martí
131,138.0,41.4167933,2.2058345,Sant Martí
132,139.0,41.4183999,2.2058133,Sant Martí
133,140.0,41.3808772,2.1559939,Eixample
134,141.0,41.4090202,2.1954152,Sant Martí
135,142.0,41.4003793,2.1924144,Sant Martí
136,143.0,41.4027907,2.1956161,Sant Martí
137,144.0,41.4056269,2.1977119,Sant Martí
138,145.0,41.4093405,2.2024461,Sant Martí
139,146.0,41.4148983,2.207186,Sant Martí
140,147.0,41.416043,2.2124993,Sant Martí
141,148.0,41.3783467,2.1633139,Eixample
142,149.0,41.3958685,2.192952,Sant Martí
143,150.0,41.4065912,2.203028,Sant Martí
144,151.0,41.4003471,2.1969105,Sant Martí
145,152.0,41.3993329,2.1974184,Sant Martí
146,153.0,41.4018686,2.20077,Sant Martí
147,154.0,41.4026275,2.2017694,Sant Martí
148,155.0,41.4070139,2.2074469,Sant Martí
149,156.0,41.4091355,2.2088179,Sant Martí
150,157.0,41.4132316,2.2177652,Sant Martí
151,158.0,41.4116634,2.2183313,Sant Martí
152,159.0,41.4110822,2.2163136,Sant Martí
153,160.0,41.4109763,2.2193724,Sant Martí
154,161.0,41.3953011,2.1965965,Sant Martí
155,162.0,41.4038559,2.2084257,Sant Martí
156,163.0,41.3942108,2.2008756,Sant Martí
157,164.0,41.4118378,2.1778852,Sant Martí
158,165.0,41.3992169,2.2041415,Sant Martí
159,166.0,41.4008312,2.206645,Sant Martí
160,167.0,41.4023354,2.2105777,Sant Martí
161,168.0,41.4053697,2.2135818,Sant Martí
162,170.0,41.3896642,2.1999572,Sant Martí
163,171.0,41.3919877,2.2037136,Sant Martí
164,173.0,41.3979002,2.2088454,Sant Martí
165,174.0,41.400654,2.210191,Sant Martí
166,175.0,41.4065291,2.2091221,Sant Martí
167,176.0,41.403216,2.2136,Sant Martí
168,177.0,41.4110754,2.1809764,Sant Martí
169,178.0,41.4053649,2.2162094,Sant Martí
170,179.0,41.36352,2.1369015,Sants-Montjuïc
171,180.0,41.3675574,2.1388216,Sants-Montjuïc
172,182.0,41.371366,2.143565,Sants-Montjuïc
173,183.0,41.3723682,2.1419494,Sants-Montjuïc
174,184.0,41.3675438,2.1342316,Sants-Montjuïc
175,185.0,41.3703717,2.1389439,Sants-Montjuïc
176,186.0,41.3755503,2.1439036,Sants-Montjuïc
177,187.0,41.3768806,2.1698206,Ciutat Vella
178,188.0,41.3756948,2.1358571,Sants-Montjuïc
179,189.0,41.3969839,2.1661852,Eixample
180,190.0,41.3961412,2.2078439,Sant Martí
181,191.0,41.381951,2.147474,Eixample
182,192.0,41.3786364,2.1335494,Sants-Montjuïc
183,193.0,41.3812979,2.1289917,Les Corts
184,194.0,41.3812001,2.1323612,Les Corts
185,195.0,41.3821371,2.1354149,Les Corts
186,196.0,41.3832609,2.1392662,Sants-Montjuïc
187,197.0,41.3871579,2.1410945,Les Corts
188,198.0,41.3847113,2.1334379,Les Corts
189,199.0,41.3819739,2.1268625,Les Corts
190,200.0,41.3839045,2.1312876,Les Corts
191,201.0,41.3878061,2.1344218,Les Corts
192,202.0,41.3854466,2.1288753,Les Corts
193,203.0,41.3887069,2.1285766,Les Corts
194,204.0,41.3880355,2.1256248,Les Corts
195,205.0,41.387561,2.1306737,Les Corts
196,206.0,41.3897943,2.1328634,Les Corts
197,207.0,41.3908477,2.136579,Les Corts
198,208.0,41.3915195,2.1390667,Sarrià-Sant Gervasi
199,209.0,41.3857425,2.1610515,Eixample
200,210.0,41.3745238,2.1422556,Sants-Montjuïc
201,211.0,41.3987543,2.1902116,Sant Martí
202,212.0,41.3922355,2.1309272,Les Corts
203,213.0,41.3935816,2.1345892,Sarrià-Sant Gervasi
204,214.0,41.3952027,2.1334873,Sarrià-Sant Gervasi
